PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
303874,282298946,"American Airlines Inc.-Tampa, FL-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Tampa, FL","Dallas/Fort Worth, TX",27.9477595,-82.458444,32.8369894,-97.033926
303862,120633214,"Southwest Airlines Co.-Sacramento, CA-Las Vegas, NV Total Total",Southwest Airlines Co.,"Sacramento, CA","Las Vegas, NV",38.5810606,-121.493895,36.1674263,-115.1484131
303478,246120658,"United Air Lines Inc.-Houston, TX-Cancun, Mexico Total Total",United Air Lines Inc.,"Houston, TX","Cancun, Mexico",29.7589382,-95.3676974,21.1527467,-86.8425761
303472,91648544,"Southwest Airlines Co.-Houston, TX-New Orleans, LA Total Total",Southwest Airlines Co.,"Houston, TX","New Orleans, LA",29.7589382,-95.3676974,29.9559145,-90.0730259
303289,93413012,"Southwest Airlines Co.-Los Angeles, CA-San Jose, CA Total Total",Southwest Airlines Co.,"Los Angeles, CA","San Jose, CA",34.0536909,-118.242766,37.3361663,-121.890591
303137,989742305,"British Airways Plc-London, United Kingdom-Boston, MA Total Total",British Airways Plc,"London, United Kingdom","Boston, MA",51.4893335,-0.1440551,42.3554334,-71.060511
302721,120180237,"Southwest Airlines Co.-Las Vegas, NV-Sacramento, CA Total Total",Southwest Airlines Co.,"Las Vegas, NV","Sacramento, CA",36.1674263,-115.1484131,38.5810606,-121.493895
302339,135145533,"United Air Lines Inc.-San Diego, CA-San Francisco, CA Total Total",United Air Lines Inc.,"San Diego, CA","San Francisco, CA",32.7174202,-117.162772,37.7792588,-122.4193286
302003,280560787,"American Airlines Inc.-Dallas/Fort Worth, TX-Tampa, FL Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Tampa, FL",32.8369894,-97.033926,27.9477595,-82.458444
301436,321029340,"United Air Lines Inc.-Fort Lauderdale, FL-Newark, NJ Total Total",United Air Lines Inc.,"Fort Lauderdale, FL","Newark, NJ",26.1223084,-80.1433786,40.735657,-74.1723667
301195,209932915,"Alaska Airlines Inc.-Seattle, WA-San Jose, CA Total Total",Alaska Airlines Inc.,"Seattle, WA","San Jose, CA",47.6038321,-122.330062,37.3361663,-121.890591
300202,121581810,"Southwest Airlines Co.-Chicago, IL-Kansas City, MO Total Total",Southwest Airlines Co.,"Chicago, IL","Kansas City, MO",41.8755616,-87.6244212,39.100105,-94.5781416
300037,424852392,"United Air Lines Inc.-New York, NY-Houston, TX Total Total",United Air Lines Inc.,"New York, NY","Houston, TX",40.7127281,-74.0060152,29.7589382,-95.3676974
299557,765667692,"United Air Lines Inc.-Honolulu, HI-Los Angeles, CA Total Total",United Air Lines Inc.,"Honolulu, HI","Los Angeles, CA",21.304547,-157.855676,34.0536909,-118.242766
298677,1176787380,"Delta Air Lines Inc.-Amsterdam, Netherlands-Detroit, MI Total Total",Delta Air Lines Inc.,"Amsterdam, Netherlands","Detroit, MI",52.3730796,4.8924534,42.3315509,-83.0466403
298574,164215700,"American Airlines Inc.-Dallas/Fort Worth, TX-St. Louis, MO Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","St. Louis, MO",32.8369894,-97.033926,38.6280278,-90.1910154
